name,version,ecosystem,license,license_file,license_evidence,homepage,repository,source,purl,direct
once_cell_polyfill,1.70.1,cargo,MIT OR Apache-2.0,,,,https://github.com/polyfill-rs/once_cell_polyfill,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/once_cell_polyfill@1.70.1,False
portable-atomic,1.11.1,cargo,Apache-2.0 OR MIT,,,,https://github.com/taiki-e/portable-atomic,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/portable-atomic@1.11.1,False
proc-macro2,1.0.95,cargo,MIT OR Apache-2.0,,,,https://github.com/dtolnay/proc-macro2,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/proc-macro2@1.0.95,False
quote,1.0.40,cargo,MIT OR Apache-2.0,,,,https://github.com/dtolnay/quote,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/quote@1.0.40,False
r-efi,5.3.0,cargo,MIT OR Apache-2.0 OR LGPL-2.1-or-later,,,https://github.com/r-efi/r-efi/wiki,https://github.com/r-efi/r-efi,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/r-efi@5.3.0,False
regex,1.12.2,cargo,MIT OR Apache-2.0,,,https://github.com/rust-lang/regex,https://github.com/rust-lang/regex,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/regex@1.12.2,False
regex-automata,0.4.13,cargo,MIT OR Apache-2.0,,,https://github.com/rust-lang/regex/tree/master/regex-automata,https://github.com/rust-lang/regex,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/regex-automata@0.4.13,False
regex-syntax,0.8.8,cargo,MIT OR Apache-2.0,,,https://github.com/rust-lang/regex/tree/master/regex-syntax,https://github.com/rust-lang/regex,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/regex-syntax@0.8.8,False
rustix,1.0.8,cargo,Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT,,,,https://github.com/bytecodealliance/rustix,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/rustix@1.0.8,False
rustversion,1.0.22,cargo,MIT OR Apache-2.0,,,,https://github.com/dtolnay/rustversion,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/rustversion@1.0.22,False
ryu,1.0.20,cargo,Apache-2.0 OR BSL-1.0,,,,https://github.com/dtolnay/ryu,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/ryu@1.0.20,False
same-file,1.0.6,cargo,Unlicense/MIT,,,https://github.com/BurntSushi/same-file,https://github.com/BurntSushi/same-file,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/same-file@1.0.6,False
serde,1.0.219,cargo,MIT OR Apache-2.0,,,https://serde.rs,https://github.com/serde-rs/serde,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/serde@1.0.219,False
serde_derive,1.0.219,cargo,MIT OR Apache-2.0,,,https://serde.rs,https://github.com/serde-rs/serde,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/serde_derive@1.0.219,False
serde_json,1.0.142,cargo,MIT OR Apache-2.0,,,,https://github.com/serde-rs/json,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/serde_json@1.0.142,False
serde_spanned,0.6.9,cargo,MIT OR Apache-2.0,,,,https://github.com/toml-rs/toml,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/serde_spanned@0.6.9,False
serde_yaml,0.9.34+deprecated,cargo,MIT OR Apache-2.0,,,,https://github.com/dtolnay/serde-yaml,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/serde_yaml@0.9.34+deprecated,False
smawk,0.3.2,cargo,MIT,,,,https://github.com/mgeisler/smawk,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/smawk@0.3.2,False
strsim,0.11.1,cargo,MIT,,,https://github.com/rapidfuzz/strsim-rs,https://github.com/rapidfuzz/strsim-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/strsim@0.11.1,False
syn,2.0.104,cargo,MIT OR Apache-2.0,,,,https://github.com/dtolnay/syn,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/syn@2.0.104,False
tempfile,3.20.0,cargo,MIT OR Apache-2.0,,,https://stebalien.com/projects/tempfile-rs/,https://github.com/Stebalien/tempfile,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/tempfile@3.20.0,False
textwrap,0.16.2,cargo,MIT,,,,https://github.com/mgeisler/textwrap,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/textwrap@0.16.2,False
toml,0.8.23,cargo,MIT OR Apache-2.0,,,,https://github.com/toml-rs/toml,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/toml@0.8.23,False
toml_datetime,0.6.11,cargo,MIT OR Apache-2.0,,,,https://github.com/toml-rs/toml,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/toml_datetime@0.6.11,False
toml_edit,0.22.27,cargo,MIT OR Apache-2.0,,,,https://github.com/toml-rs/toml,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/toml_edit@0.22.27,False
toml_write,0.1.2,cargo,MIT OR Apache-2.0,,,,https://github.com/toml-rs/toml,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/toml_write@0.1.2,False
unicode-ident,1.0.18,cargo,(MIT OR Apache-2.0) AND Unicode-3.0,,,,https://github.com/dtolnay/unicode-ident,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/unicode-ident@1.0.18,False
unicode-linebreak,0.1.5,cargo,Apache-2.0,,,https://github.com/axelf4/unicode-linebreak,https://github.com/axelf4/unicode-linebreak,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/unicode-linebreak@0.1.5,False
unicode-width,0.2.2,cargo,MIT OR Apache-2.0,,,https://github.com/unicode-rs/unicode-width,https://github.com/unicode-rs/unicode-width,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/unicode-width@0.2.2,False
unsafe-libyaml,0.2.11,cargo,MIT,,,,https://github.com/dtolnay/unsafe-libyaml,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/unsafe-libyaml@0.2.11,False
utf8parse,0.2.2,cargo,Apache-2.0 OR MIT,,,,https://github.com/alacritty/vte,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/utf8parse@0.2.2,False
